"ID (например kin.01, mkt.03)",Экзамен (ЕГЭ / ОГЭ / ЕГЭ+ОГЭ),Раздел,Тема,Подтема,Название формулы,Подсказка для сборки,Формула (LaTeX),Формула (текст),Переменные (символ — название — единица),Физический смысл (для блока «Как рассуждать»),Зависимости (прямая / обратная),Размерности,Откуда выводится,Когда применять (Layer 1 — ситуации),Частые ошибки / ловушки,Связанные формулы (ID через запятую — для дистракторов),Сложность (1 / 2 / 3),Мутации Layer 3 (тип; неверный LaTeX; подсказка),Рецепт сборки (числитель | знаменатель),Источник (sokrat / egor / elena),Автор,Ревью,Статус (draft / review / ready),Комментарии
dyn.10,ЕГЭ,Механика,Динамика,Динамика,Второй закон Ньютона,,$\vec{F}_p = m \vec{a}$,,,"Закон выполняется только в инерциальных системах отсчёта для материальных точек.

$\vec{F}_р$ - равнодействующая сила (сила, действие которой заменяет действие всех остальных сил)
$m$ - масса тела
$\vec{a}$ - ускорение тела

Форма записи закона, которая лучше отражает причину появления ускорения у тела: $\vec{a}=\frac{\vec{F}_р}{m}$",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.11,ЕГЭ,Механика,Динамика,Динамика,Куда направлено ускорение тела?,,Ускорение сонаправлено с равнодействующей.,,,"Так как $\vec{F}_p = m \vec{a}$, а масса тела $m$ всегда положительна, то векторы равнодействующей и ускорения всегда сонапралены.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.12,ЕГЭ,Механика,Динамика,Динамика,3 закон Ньютона,,$\vec{F}_{12} =- \vec{F}_{21}$,,,"Сила действия равна силе противодействия по модулю, но противоположна по направлению.

$\vec{F}_{12}$ - сила, с которой первое тело действует на второе
$\vec{F}_{21}$ - сила, с коротой второе тело действует на первое

Стоит отметить, то эти силы приложены к разным телам. Это силы одной природы (либо обе гравитационные, либо обе электромагнитные, либо обе ядерные)",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.13,ЕГЭ,Механика,Динамика,Динамика,Что такое сила $\vec{N}$?,,$\vec{N}$ - сила нормальной реакции опоры.,,,"Это сила, с которой опора действует на тело. Она всегда перпендикулярна опоре. 

Со стороны опоры ещё может действовать сила трения $\vec{F}_{тр}$, направленная вдоль опоры. Векторная сумма сил $\vec{N}$ и $\vec{F}_{тр}$ является полной силой реакции опоры: $\vec{R}=\vec{N}+\vec{F}_{тр}; R=\sqrt{N^2+F_{тр}^2}$",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.14,ЕГЭ,Механика,Динамика,Динамика,Условие отрыва от поверхности,,$\vec{N}=\vec{0}$,,,"$\vec{N}$ - сила нормальной реакции опоры.

Перед отрывом от поверхности тело в последний момент ещё сохраняет контакт с опорой, но сила $\vec{N}$ уже равна нулю.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.15,ЕГЭ,Механика,Динамика,Динамика,Что такое вес тела?,,"Вес $\vec{P}$ - это сила, с которой тело действует на опору или подвес.",,,"Если нет трения, то по третьему закону Ньютона $\vec{P} =-\vec{N};$ 
$P =N$ 

Если трение есть, то по третьему закону Ньютона
$\vec{P}=-\vec{R};$
$P =R=\sqrt{N^2+F_{тр}^2}$

Если тело находится в невесомости, то это значит, что $P=0$, зн. можно доказать по третьему закону Ньютона, что и $N=0$. 

$\vec{N}$ - сила нормальной реакции опоры
$\vec{R}$ - сила полной реакции опоры
$\vec{F}_{тр}$ - сила трения",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.16,ЕГЭ,Механика,Динамика,Динамика,Сила тяжести,,$\vec{F}_{тяж} = m \vec{g}$,,,"$\vec{F}_{тяж}$ - сила тяжести
$m$ - масса тела
$\vec{g}$ - ускорение свободного падения",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.17,ЕГЭ,Механика,Динамика,Динамика,Закон всемирного тяготения,,$F_{12}=F_{21}=\frac{Gm_1 m_2}{r^2}$,,,"$F_{12}$ — модуль силы гравитационного притяжения первого тела ко второму
$F_{21}$ — модуль силы гравитационного притяжения второго тела к первому
$G=6,7\cdot10^{-11}\frac{\text{Н}\cdotм^2}{кг^2}$ — гравитационная постоянная, её значение приведено в начале варианта экзамена
$m_1$ — масса первого тела
$m_2$ — масса второго тела
$r$ — расстояние между ЦЕНТРАМИ тел 

Стоить отметить, что данная формула применима только для 2х материальных точек, либо для материальной точки и шара/сферы, либо для 2х шаров/сфер, т.е. неприменима, например, для 2х кубиков, расположенных рядом.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.18,ЕГЭ,Механика,Динамика,Динамика,Ускорение свободного падения на высоте $h$ над поверхностью,,$g=\frac{GM}{(R+h)^2}$,,,"$g$ - ускорение свободного падения на высоте $h$ над поверхностью небесного тела (например, планеты)
$G=6,7\cdot10^{-11}\frac{\text{Н}\cdotм^2}{кг^2}$ — гравитационная постоянная, её значение приведено в начале варианта экзамена
$M$ — масса небесного тела
$R$ — радиус небесного тела

Если $h$ сильно меньше, чем $R$, и это небесное тело - планета Земля, то $g=10\frac{м}{с^2}$",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.19,ЕГЭ,Механика,Динамика,Динамика,Скорость вращения спутника по круговой орбите (помнить с выводом),,$v=\sqrt{\frac{GM}{r}}$,,,"Сила гравитации сообщает спутнику массой $m$ центростремительное ускорение $a_{цс}$:
$$F=ma_{цс}=m\frac{v^2}{r}\quad(1)$$$$F=\frac{GMm}{r^2}\quad(2)$$Из уравнений $(1)$ и $(2)$:
$$m\frac{v^2}{r}=\frac{GMm}{r^2}$$$$v^2=\frac{GM}{r}$$$$v=\sqrt{\frac{GM}{r}}$$$v$ - скорость вращения спутника по круговой орбите
$G=6,7\cdot10^{-11}\frac{\text{Н}\cdotм^2}{кг^2}$ — гравитационная постоянная, её значение приведено в начале варианта экзамена
$M$ — масса небесного тела
$r$ — радиус орбиты спутника",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.20,ЕГЭ,Механика,Динамика,Динамика,Период вращения спутника по круговой орбите (помнить с выводом),,$T=\frac{2\pi r\sqrt{r}}{\sqrt{GM}}$,,,"Нужно длину орбиты спутника поделить на его скорость $v$ (выражение для скорости тоже здесь нужно приводить с выводом):
$$T=\frac{2\pi r}{v}=\frac{2\pi r}{\sqrt{\frac{GM}{r}}}=\frac{2\pi r\sqrt{r}}{\sqrt{GM}}$$$r$ — радиус орбиты спутника
$G=6,7\cdot10^{-11}\frac{\text{Н}\cdotм^2}{кг^2}$ — гравитационная постоянная, её значение приведено в начале варианта экзамена
$M$ — масса небесного тела

При необходимости можно записать частоту вращения спутника по круговой орбите по ранее известной формуле $$\nu=\frac{1}{T}=\frac{\sqrt{GM}}{2\pi r\sqrt{r}}$$",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.21,ЕГЭ,Механика,Динамика,Динамика,Сила упругости (закон Гука),,$F=k\lvert l-l_0\rvert=k\lvert \Delta l\rvert$,,,"$F$ - сила упругости
$k$ - жёсткость (коэффициент упругости)
$l$ - текущая длина упругого тела (например, пружины или жгута)
$l_0$ - начальная длина упругого тела (например, пружины или жгута)
$\lvert \Delta l\rvert$ - деформация упругого тела

Если деформация будет слишком большой, то пропорциональность $F$ и $\lvert \Delta l\rvert$ нарушится и закон Гука перестанет выполняться.

Если от тела, которое висело на пружине, отвалилась нижняя часть, то сила упругости не изменяется мгновенно, так как на это необходимо время: грузик должен переместиться и изменить деформацию пружины. Аналогичный эффект наблюдается при перерезании нити, которая сохраняла пружину в деформированном состоянии. Если пружина связана с грузом, то потребуется время на перемещение груза и изменение деформации, поэтому сила упругости пружины сразу после перерезания нити будет такой же, как и до перерезания.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.22,ЕГЭ,Механика,Динамика,Динамика,Куда направлена сила $\vec{T}$ натяжения нити?,,Направлена вдоль нити от тела. Нить не может толкать тело.,,,"По природе это тоже сила упругости, только мы пренебрегаем деформацией нити по сравнению с длиной нити.

В отличие от нити стержни могут как тянуть тело в направлении от тела, так и толкать в направлении к телу, а также сила реакции стрежня не всегда направлена вдоль стержня.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.23,ЕГЭ,Механика,Динамика,Динамика,Сила трения покоя,,$F_{трп}\leq\mu N$,,,"$F_{трп}$ - сила трения покоя
$\mu$ - коэффициент трения для данных поверхностей
$N$ - сила нормальной реакции опоры

Это неравенство говорит только о максимально возможном значении силы трения покоя. А чтобы найти, чему равна сила трения покоя в данной задаче, нужно записать 2 закон Ньютона, в котором приравнять ускорение к нулю.

Интересно, что именно благодаря силе трения покоя машина может разгоняться и тормозить, человек может перемещаться вперед. Благодаря этой силе не растёгиваются пуговицы и не развязываются шнурки.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.24,ЕГЭ,Механика,Динамика,Динамика,Сила трения скольжения,,$F_{трск}=\mu N$,,,"$F_{трск}$ - сила трения скольжения
$\mu$ - коэффициент трения для данных поверхностей
$N$ - сила нормальной реакции опоры

В отличие от неравенства, которое задаёт максимум для силы трения покоя, $F_{трп}\leq\mu N$, здесь мы имеем дело с точным равенством, но чтобы его применять, нужно быть уверенным, что тело скользит, а не покоится.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.25,ЕГЭ,Механика,Динамика,Динамика,Сила трения скольжения по наклонной плоскости (помнить с выводом),,$F_{трск}=\mu mg\cos\alpha$,,,"Запишем второй закон Ньютона в проекции на ось OY, направленную перпендикулярно плоскости, в направлении от неё:$$N-mg\cos\alpha=0\quad(1)$$Сила трения скольжения:$$F_{трск}=\mu N$$Тогда с учётом уравнения $(1)$:$$F_{трск}=\mu mg\cos\alpha$$$m$ - масса тела
$N$ - сила нормальной реакции опоры
$g$ - ускорение свободного падения
$\alpha$ - угол наклона плоскости к горизонту
$\mu$ - коэффициент трения

$F_{трск}$ уменьшается при росте угла $\alpha$.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.26,ЕГЭ,Механика,Динамика,Динамика,Сила трения покоя на наклонной плоскости (помнить с выводом),,$F_{трп}=mg\sin\alpha$,,,"Запишем второй закон Ньютона в проекции на ось OX, направленную вниз вдоль плоскости:$$mg\sin\alpha-F_{трп}=0$$$$F_{трп}=mg\sin\alpha$$$m$ - масса тела
$g$ - ускорение свободного падения
$\alpha$ - угол наклона плоскости к горизонту

$F_{трп}$ увеличивается при росте угла $\alpha$.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.27,ЕГЭ,Механика,Динамика,Динамика,Ускорение при движении вниз по наклонной плоскости (помнить с выводом),,$a_x=g(\sin\alpha-\mu\cos\alpha)$,,,"Запишем второй закон Ньютона в проекции на ось OX, направленную вниз вдоль плоскости:$$mg\sin\alpha-F_{трск}=ma_x\quad(1)$$Запишем второй закон Ньютона в проекции на ось OY, направленную перпендикулярно плоскости, в направлении от неё:$$N-mg\cos\alpha=0\quad(2)$$Сила трения скольжения:$$F_{трск}=\mu N$$Тогда с учётом уравнения $(2)$:$$F_{трск}=\mu mg\cos\alpha$$Подставляем в уравнение $(1)$:$$mg\sin\alpha-\mu mg\cos\alpha=ma_x$$$$a_x=g(\sin\alpha-\mu \cos\alpha)$$$a_x$ - проекция ускорения при движении вниз по наклонной плоскости 
$m$ - масса тела
$N$ - сила нормальной реакции опоры
$g$ - ускорение свободного падения
$\alpha$ - угол наклона плоскости к горизонту
$\mu$ - коэффициент трения",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.28,ЕГЭ,Механика,Динамика,Динамика,Ускорение при движении вверх по наклонной плоскости (помнить с выводом),,$a_x=g(\sin\alpha+\mu\cos\alpha)$,,,"Запишем второй закон Ньютона в проекции на ось OX, направленную вниз вдоль плоскости:$$mg\sin\alpha+F_{трск}=ma_x\quad(1)$$Запишем второй закон Ньютона в проекции на ось OY, направленную перпендикулярно плоскости, в направлении от неё:$$N-mg\cos\alpha=0\quad(2)$$Сила трения скольжения:$$F_{трск}=\mu N$$Тогда с учётом уравнения $(2)$:$$F_{трск}=\mu mg\cos\alpha$$Подставляем в уравнение $(1)$:$$mg\sin\alpha+\mu mg\cos\alpha=ma_x$$$$a_x=g(\sin\alpha+\mu \cos\alpha)$$$a_x$ - проекция ускорения при движении вверх по наклонной плоскости (например, по инерции, за счёт начальной скорости, направленной вверх)
$m$ - масса тела
$N$ - сила нормальной реакции опоры
$g$ - ускорение свободного падения
$\alpha$ - угол наклона плоскости к горизонту
$\mu$ - коэффициент трения",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.29,ЕГЭ,Механика,Динамика,Динамика,Из чего следует равенство сил натяжения нити в разных частях нити?,,"1. Силы трения в оси блока нет.
2. Блок невесомый. 
3. Нить невесомая.",,,Это мини-шаблон для обоснования в 26ой задаче.,,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.30,ЕГЭ,Механика,Динамика,Динамика,Из чего следует равенство ускорений связанных тел?,,"Из того, что нить нерастяжимая. Также тела может соединять пружина постоянной длины.",,,Это подсказка для обоснования в 26-ой задаче.,,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.31,ЕГЭ,Механика,Динамика,Динамика,Связь ускорений в задачах с подвижным блоком,,$a_1=2a_2$,,,"$a_1$ - модуль ускорения тела, связанного со свободным концом нити
$a_2$ - модуль ускорения тела, связанного с подвижным блоком.

В обосновании к 26ой задаче достаточно указать эту связь, сославшись на то, что блок подвижный.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.32,ОГЭ,Механика,Динамика,Динамика (общая),Плотность тела,,$\rho=\frac{m}{V}$,,,"$\rho$ - плотность тела
$m$ - масса тела
$V$ - объем тела",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.33,ОГЭ,Механика,Динамика,Динамика (общая),Первый закон Ньютона (3 определения и 1 утверждение),,Утверждение: Инерциальные системы отсчёта существуют.,,,"Определения:
1. Система отсчёта состоит из тела отсчёта, системы координат и часов.
2. Инерция  - свойство тел сохранять свою скорость, 
пока не них не действуют другие тела или действие других
тел сконпенсировано. 
3. Инерциальная система отсчёта - система отсчёта, в которой выполняется закон инерции.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.34,ОГЭ,Механика,Динамика,Динамика (общая),Равнодействующая сила,,$\vec{F}_р =\vec{F}_1+\vec{F}_2+...$,,,"$\vec{F}_р$ - равнодействующая сила (сила, действие которой заменяет действие всех остальных сил)
$\vec{F}_1$ - первая сила, действующая на тело
$\vec{F}_2$ - вторая сила, действующая на тело",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.35,ОГЭ,Механика,Динамика,Динамика (общая),Второй закон Ньютона,,$\vec{F}_p = m \vec{a}$,,,"Закон выполняется только в инерциальных системах отсчёта.

$\vec{F}_р$ - равнодействующая сила (сила, действие которой заменяет действие всех остальных сил)
$m$ - масса тела
$\vec{a}$ - ускорение тела

Форма записи закона, которая лучше отражает причину появления ускорения у тела: $\vec{a}=\frac{\vec{F}_р}{m}$",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.36,ОГЭ,Механика,Динамика,Динамика (общая),Куда направлено ускорение тела?,,Ускорение сонаправлено с равнодействующей.,,,"Так как $\vec{F}_p = m \vec{a}$, а масса тела $m$ всегда положительна, то векторы равнодействующей и ускорения всегда сонапралены.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.37,ОГЭ,Механика,Динамика,Динамика (общая),3 закон Ньютона,,$\vec{F}_{12} =- \vec{F}_{21}$,,,"Сила действия равна силе противодействия по модулю, но противоположна по направлению.

$\vec{F}_{12}$ - сила, с которой первое тело действует на второе
$\vec{F}_{21}$ - сила, с коротой второе тело действует на первое

Стоит отметить, то эти силы приложены к разным телам. Это силы одной природы (либо обе гравитационные, либо обе электромагнитные, либо обе ядерные)",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.38,ОГЭ,Механика,Динамика,Динамика (общая),Что такое сила $\vec{N}$?,,$\vec{N}$ - сила нормальной реакции опоры.,,,"Это сила, с которой опора действует на тело. Она всегда перпендикулярна опоре. 

Со стороны опоры ещё может действовать сила трения $\vec{F}_{тр}$, направленная вдоль опоры. Векторная сумма сил $\vec{N}$ и $\vec{F}_{тр}$ является полной силой реакции опоры: $\vec{R}=\vec{N}+\vec{F}_{тр}; R=\sqrt{N^2+F_{тр}^2}$",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.39,ОГЭ,Механика,Динамика,Динамика (общая),Что такое вес тела?,,"Вес $\vec{P}$ - это сила, с которой тело действует на опору или подвес.",,,"Если нет трения, то по третьему закону Ньютона $\vec{P} =-\vec{N};$ 
$P =N$ 

Если трение есть, то по третьему закону Ньютона
$\vec{P}=-\vec{R};$
$P =R=\sqrt{N^2+F_{тр}^2}$

Если тело находится в невесомости, то это значит, что $P=0$, зн. можно доказать по третьему закону Ньютона, что и $N=0$. 

$\vec{N}$ - сила нормальной реакции опоры
$\vec{R}$ - сила полной реакции опоры
$\vec{F}_{тр}$ - сила трения",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.40,ОГЭ,Механика,Динамика,Динамика (общая),Сила тяжести,,$\vec{F}_{тяж} = m \vec{g}$,,,"$\vec{F}_{тяж}$ - сила тяжести
$m$ - масса тела
$\vec{g}$ - ускорение свободного падения",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.41,ОГЭ,Механика,Динамика,Динамика (общая),Закон всемирного тяготения,,$F_{12}=F_{21}=\frac{Gm_1 m_2}{r^2}$,,,"$F_{12}$ — модуль силы гравитационного притяжения первого тела ко второму
$F_{21}$ — модуль силы гравитационного притяжения второго тела к первому
$G=6,7\cdot10^{-11}\frac{\text{Н}\cdotм^2}{кг^2}$ — гравитационная постоянная, её значение приведено в начале варианта экзамена
$m_1$ — масса первого тела
$m_2$ — масса второго тела
$r$ — расстояние между ЦЕНТРАМИ тел 

Стоить отметить, что данная формула применима только для 2х материальных точек, либо для материальной точки и шара/сферы, либо для 2х шаров/сфер, т.е. неприменима, например, для 2х кубиков, расположенных рядом.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.42,ОГЭ,Механика,Динамика,Динамика (общая),Ускорение свободного падения на высоте $h$ над поверхностью,,$g=\frac{GM}{(R+h)^2}$,,,"$g$ - ускорение свободного падения на высоте $h$ над поверхностью небесного тела (например, планеты)
$G=6,7\cdot10^{-11}\frac{\text{Н}\cdotм^2}{кг^2}$ — гравитационная постоянная, её значение приведено в начале варианта экзамена
$M$ — масса небесного тела
$R$ — радиус небесного тела

Если $h$ сильно меньше, чем $R$, и это небесное тело - планета Земля, то $g=10\frac{м}{с^2}$",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.43,ОГЭ,Механика,Динамика,Динамика (общая),Скорость вращения спутника по круговой орбите (помнить с выводом),,$v=\sqrt{\frac{GM}{r}}$,,,"Сила гравитации сообщает спутнику массой $m$ центростремительное ускорение $a_{цс}$:
$$F=ma_{цс}=m\frac{v^2}{r}\quad(1)$$$$F=\frac{GMm}{r^2}\quad(2)$$Из уравнений $(1)$ и $(2)$:
$$m\frac{v^2}{r}=\frac{GMm}{r^2}$$$$v^2=\frac{GM}{r}$$$$v=\sqrt{\frac{GM}{r}}$$$v$ - скорость вращения спутника по круговой орбите
$G=6,7\cdot10^{-11}\frac{\text{Н}\cdotм^2}{кг^2}$ — гравитационная постоянная, её значение приведено в начале варианта экзамена
$M$ — масса небесного тела
$r$ — радиус орбиты спутника",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.44,ОГЭ,Механика,Динамика,Динамика (общая),Период вращения спутника по круговой орбите (помнить с выводом),,$T=\frac{2\pi r\sqrt{r}}{\sqrt{GM}}$,,,"Нужно длину орбиты спутника поделить на его скорость $v$ (выражение для скорости тоже здесь нужно приводить с выводом):
$$T=\frac{2\pi r}{v}=\frac{2\pi r}{\sqrt{\frac{GM}{r}}}=\frac{2\pi r\sqrt{r}}{\sqrt{GM}}$$$r$ — радиус орбиты спутника
$G=6,7\cdot10^{-11}\frac{\text{Н}\cdotм^2}{кг^2}$ — гравитационная постоянная, её значение приведено в начале варианта экзамена
$M$ — масса небесного тела

При необходимости можно записать частоту вращения спутника по круговой орбите по ранее известной формуле $$\nu=\frac{1}{T}=\frac{\sqrt{GM}}{2\pi r\sqrt{r}}$$",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.45,ОГЭ,Механика,Динамика,Динамика (общая),Сила упругости (закон Гука),,$F=k\lvert l-l_0\rvert=k\lvert \Delta l\rvert$,,,"$F$ - сила упругости
$k$ - жёсткость (коэффициент упругости)
$l$ - текущая длина упругого тела (например, пружины или жгута)
$l_0$ - начальная длина упругого тела (например, пружины или жгута)
$\lvert \Delta l\rvert$ - деформация упругого тела

Если деформация будет слишком большой, то пропорциональность $F$ и $\lvert \Delta l\rvert$ нарушится и закон Гука перестанет выполняться.

Если от тела, которое висело на пружине, отвалилась нижняя часть, то сила упругости не изменяется мгновенно, так как на это необходимо время: грузик должен переместиться и изменить деформацию пружины. Аналогичный эффект наблюдается при перерезании нити, которая сохраняла пружину в деформированном состоянии. Если пружина связана с грузом, то потребуется время на перемещение груза и изменение деформации, поэтому сила упругости пружины сразу после перерезания нити будет такой же, как и до перерезания.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
dyn.46,ОГЭ,Механика,Динамика,Динамика (общая),Куда направлена сила $\vec{T}$ натяжения нити?,,Направлена вдоль нити от тела. Нить не может толкать тело.,,,"По природе это тоже сила упругости, только мы пренебрегаем деформацией нити по сравнению с длиной нити.

В отличие от нити стержни могут как тянуть тело в направлении от тела, так и толкать в направлении к телу, а также сила реакции стрежня не всегда направлена вдоль стержня.",,,,,,,,,,egor,Egor,,draft,"TODO: variables, whenToUse, commonMistakes, relatedFormulas, mutations, buildRecipe, difficulty. Подтему/тему уточнить (особенно «Статика и гидростатика» — разделить на Статика / Гидростатика)."
